seq	headword	coinage_cats	modern_cats	source_period
1	צֶדֶף	[16]	[1]	M
2	נַשָּׁק	[4]	[]	N
3	פַּסְקָן	[4]	[1]	M
4	צַפָּן	[4]	[]	N
5	נְפִיחָה	[4]	[1, 2]	C
6	חִשּׁוּקַאי	[10]	[]	N
7	מַדְגֵּשׁ ב	[4]	[]	N
8	פּוּגָה	[4]	[1]	B
9	מְלִילָה ב	[4]	[]	N
10	קַרְנוּן	[14]	[]	N
11	הַקְסָמָה	[4]	[]	N
12	עוֹגְבָנוּת	[10]	[]	N
13	פַּרְצוּף	[19]	[1, 2]	C
14	עִיּוּט	[4]	[]	N
15	עוּלָה	[10]	[1]	C
16	כּוֹלֵרָה	[19]	[]	N
17	גְּבִיעָה	[4]	[1]	C
18	הֶטֵּֽחַ	[4]	[1, 2]	C
19	כַּרְסָם	[4]	[]	N
20	מְסֹרָב	[21]	[]	N
21	מַעֲגָלָה	[4]	[]	N
22	תִּפְרֹֽסֶת	[4]	[]	N
23	טְפִילָה	[4]	[1, 2]	C
24	חַלְמָנוּת	[10]	[]	N
25	נִשְׁנוּשׁ	[4]	[]	N
26	קִלְטוּר	[4]	[]	N
27	מִכְבָּר	[4]	[1, 2]	B
28	מַשָּׁא	[4]	[1]	B
29	מְאַפְנֵן	[4]	[]	N
30	גְּרוּטָה	[19]	[1, 2]	C
31	פֵּרוּס	[4]	[]	N
32	דַּהֲרוּר	[4]	[]	N
33	טֶרְצֵט	[20]	[]	N
34	דְּקָרָה	[4]	[1]	M
35	הִתְפַּיְּסוּת	[4]	[]	N
36	הַפְסָדָה	[4]	[1]	M
37	שָׁעָה	[16]	[1]	C
38	קַרְצִית	[4]	[1]	C
39	פָּרָדִיגְמָה	[20]	[]	N
40	פִּרְקֹֽדֶת	[4]	[]	N
41	קַבְּלָנוּת	[10]	[1]	C
42	שִׁתּוּךְ	[4]	[1]	M
43	מַיָּן	[4]	[]	N
44	אִסְלוּק	[4]	[]	N
45	צִפָּרְנִית	[10]	[]	N
46	לִירִיקָן	[11]	[]	N
47	הִוָּקְשׁוּת	[4]	[]	N
48	אִיסָטִיס	[20]	[]	N
49	הֵעָזְרוּת	[4]	[]	N
50	בּוּלְקָלֶ׳ה	[20]	[]	N
51	בֻּלְבּוּס	[19]	[1, 2]	C
52	טַבָּקִיָּה	[11]	[]	N
53	בִּיּוֹטִין	[20]	[]	N
54	אִינְטֶרְנַצְיוֹנָלִיזַצְיָה	[20]	[]	N
55	מִשְׁגָּרָה	[4]	[]	N
56	לִיטְרָה	[19]	[1, 2]	C
57	דֶּרְבִּי	[20]	[]	N
58	הִתְאַפְּקוּת	[4]	[1]	M
59	תַּפּוּזִינָה	[14]	[]	N
60	זִכְרִיָּה	[22]	[]	N
61	פוֹקוּס	[20]	[]	N
62	מִינִיסְטְרֵל	[20]	[]	N
63	דַּקְרָן	[4]	[]	N
64	פֶּרֶט ג	[4]	[]	N
65	כְּחִישׁוּת	[10]	[1]	M
66	נוֹצָן	[4]	[]	N
67	סְחִיף	[4]	[1, 2]	M
68	גִּיּוּז	[4]	[]	N
69	שׂוֹם	[4]	[1]	B
70	הַפְסָקָה	[4]	[1, 2]	C
71	פִּידְזָ׳ק	[20]	[]	N
72	סְמוֹקִינְגּ	[20]	[]	N
73	חֲלִיקָה א	[4]	[]	N
74	פַּלְגָנִיּוֹת	[4]	[]	N
75	תְּלוּנָה	[4]	[1]	B
76	מַשְׁפִּיל	[4]	[1, 2]	B
77	בַּרְזֶל	[0]	[1]	B
78	חָלוּט ב	[4]	[1]	C
79	אֵרוּג	[4]	[1, 2]	M
80	דַּהֲבָא	[16]	[1]	C
81	וֶשֶׁט ב	[0]	[1]	C
82	גְּדִישׁוּת	[10]	[]	N
83	הַפְלָרָה	[4]	[]	N
84	שְׁקִיפָס	[0]	[1]	C
