reduced	log_rarer_comp	log_phrase_freq	phrase
1	-4.644881711993616	-4.48051859123545	חיטי תירס
1	-4.069405958908375	-5.307612771338267	חדר שירותים
1	-4.414247587873166	-3.2615451811700553	חנות מכולת
1	-5.679441906550447	-5.761950379071654	כלב תחש
1	-3.904057190513626	-2.920627245684221	קנה רובה
1	-3.974298672313236	-2.648074393362855	ארץ מולדת
1	-6.072311562857919	-5.179488595571469	חולדת הסנאים
1	-3.8535757275294134	-2.32063830509587	כלי תותח
1	-4.043219624255645	-2.4965806535998665	כלי רכב
1	-5.357713211940698	-5.520821404223631	תות שדה
1	-3.838357704117466	-2.709666579593306	זר פרחים
1	-3.7227552306249705	-2.781469757034392	גן ילדים
1	-6.2716519030479265	-5.588439380913961	מזגן אוויר
1	-6.587707455823395	-4.702367340851807	פטמת הדד
1	-5.302055568043556	-4.443998106661892	מפל מים
1	-4.470972704101755	-3.5989000666476354	צומת דרכים
1	-5.20813442332318	-4.204540411987341	צלילות הדעת
1	-3.900953553332135	-3.9953547959114544	נס קפה
1	-5.2993776797478445	-4.6655242262197465	זיקוקין דינור
1	-5.6633698563132056	-4.290681664999718	בילוי זמן
1	-4.707617202405311	-5.461345431256119	שמלה חצאית
1	-3.5841011232997246	-3.6881269017371965	איגרת גלויה
1	-3.947542658438801	-5.0300607049672506	עגלה מכונית
1	-4.771427226169855	-3.4947786506686405	בגדים תחתונים
1	-5.213690254570734	-5.062980374735635	סוללה חשמלית
1	-4.572385307732722	-3.3594423719730844	הקרבה עצמית
1	-4.510436828734518	-5.043700149503969	ספינה צוללת
1	-5.490317661894034	-5.520821404223631	אונייה משחתת
1	-3.795414375028631	-4.865656309213325	אווירון מפציץ
1	-5.5614886348953885	-4.714924534346366	מדיח כלים
1	-5.0915201564302635	-5.587752916305774	מייבש כביסה
1	-5.196473839181065	-5.196608199373683	מצית סיגריות
1	-5.129318097384015	-6.224575013892949	מהדק סיכות
1	-7.302827643518144	-6.616916621217065	מסורב עלייה
1	-4.029339461858195	-3.394158760560702	אחוז למאה
1	-4.245632397798305	-3.5522490088653824	הוצאה לאור
1	-5.41788110264274	-5.239298270713655	שמיכת פוך
1	-5.589782785725544	-4.585859120015972	חזייה תחתונית
1	-4.573373344573005	-4.720557693913429	רכבת חשמלית
0	-2.670129457190137	-2.1469441966957	בית ספר
0	-3.561901683657548	-2.7935712632136993	בית חולים
0	-3.7579968824228542	-2.7838043907078074	עורך דין
0	-3.3816411655554894	-3.7416525721538614	כדור רגל
0	-3.5982960395553425	-2.9255957287633985	בית קפה
0	-5.4526020813564235	-4.139873586647352	גן חיות
0	-3.6854462152742427	-3.278228993653057	חדר אוכל
0	-3.6532615319028414	-2.6802956926960437	בית כנסת
0	-4.063435996991891	-2.2847525397573194	קופת חולים
0	-4.228587269983559	-2.4412691619142803	בית משפט
0	-3.1242224779176855	-2.616699790026183	ראש ממשלה
0	-3.1242224779176855	-3.4287081688648064	סוף שבוע
0	-3.6835942104126493	-3.4287081688648064	בית קברות
0	-5.753632077020404	-3.715488908952745	תחנת רכבת
0	-3.6330581458145543	-3.437543453504066	ארוחת בוקר
0	-3.4794742277567243	-3.630266577846204	חדר שינה
0	-5.100419563245061	-4.219898942740891	בגד ים
0	-4.262270383186132	-2.4323585310574094	מגן דוד
0	-4.5922640747854295	-6.152710811352524	זבוב הסוס
0	-4.338658729049587	-6.629832066072186	בכור אביב
0	-5.276510822300742	-3.1491066870836986	שער החליפין
0	-3.665495988319853	-5.515888713765349	משתיק קול
0	-3.7162055790797806	-6.152710811352524	אדם החזה
0	-5.355692068348366	-6.629832066072186	אזן הגדי
0	-5.5775408179647235	-4.9396359860436725	שהי פהי
0	-4.753632077020405	-6.629832066072186	כתנה כותנה
0	-4.908534037006148	-4.223291885638231	אמנון ותמר
0	-4.373420835308798	-6.629832066072186	זקן הסב
0	-5.4526020813564235	-6.152710811352524	מטהר אויר
0	-4.850542090028461	-4.53292205306413	און לין
0	-4.105272066039473	-5.515888713765349	גלת הכותרת
0	-3.6835942104126493	-6.629832066072186	עשה ויברח
0	-5.100419563245061	-6.629832066072186	אגס אדמה
0	-4.878570813628705	-6.152710811352524	אלמה מטר
0	-5.100419563245061	-6.629832066072186	חתום זקן
0	-5.355692068348366	-6.152710811352524	אזן הארי
0	-4.2484820987004985	-5.515888713765349	גמל שלמה
0	-4.209564032670129	-6.629832066072186	אלמנה שחרה
0	-6.054662072684385	-6.629832066072186	לכיד הנחלים
0	-5.4526020813564235	-6.629832066072186	חתול לוב
0	-4.130382786622504	-5.675589556632861	אורים ותמים
0	-4.474878476067575	-5.784734026057929	לשון הפר
0	-6.054662072684385	-6.629832066072186	בובה מיסס
0	-5.5775408179647235	-4.844502231061419	בשהי פהי
0	-5.355692068348366	-5.453740807016505	מרבה רגלים
0	-4.411209396198198	-5.453740807016505	מקור החסידה
0	-5.753632077020404	-4.309685779961132	שכיב מרע
0	-4.401449558909042	-5.588439380913961	קרני פרה
